MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
145.3070207,,SOUTH EAST BOUND,"3,800* (4% 157*) SOUTH EAST BOUND",3800,4451,,2017,-37.84998836,-0.004,355502
145.2881146,,SOUTH BOUND,"15,000* (6% 910*) SOUTH BOUND",15000,3520,,2017,-37.81339636,-0.005,355503
145.1374512,,NORTH BOUND,"15,000* (4% 579*) NORTH BOUND",15000,3524,,2017,-37.73310808,0.035,355504
145.3411586,,EAST BOUND,770* (10% 80*) EAST BOUND,770,3527,,2017,-37.5327612,0.029,355505
145.2224905,,SOUTH BOUND,"7,800* (5% 409*) SOUTH BOUND",7800,4494,,2017,-37.73537057,0.012,355508
145.1467434,,NORTH EAST BOUND,"9,100* (6% 574*) NORTH EAST BOUND",9100,4160,,2017,-37.67519327,0.015,355509
144.979847,,EAST BOUND,"6,400* (6% 396*) EAST BOUND",6400,4163,,2017,-37.79316739,-0.007,355510
145.0232223,,SOUTH WEST BOUND,"13,000* (6% 807*) SOUTH WEST BOUND",13000,4502,,2017,-37.72548598,-0.001,355511
145.0957349,1700,SOUTH BOUND,"18,000 (6% 1,200*) SOUTH BOUND",18000,3572,999,2017,-37.60063604,0.09,355512
144.9950866,,EAST BOUND,"3,800* (6% 226*) EAST BOUND",3800,3981,,2017,-37.4179352,0.072,355513
145.013835,,SOUTH BOUND,"13,000* (6% 795*) SOUTH BOUND",13000,4505,,2017,-37.68024394,0.012,355514
144.9287808,,SOUTH BOUND,"20,000* (5% 962*) SOUTH BOUND",20000,4507,,2017,-37.64054879,0.044,355515
144.9161409,1800,SOUTH BOUND,"18,000 (6% 1,100*) SOUTH BOUND",18000,3986,1200,2017,-37.70627544,0.004,355516
144.9625687,1100,SOUTH EAST BOUND,"20,000 (5% 1,100*) SOUTH EAST BOUND",20000,5235,1400,2017,-37.82796578,-0.013,355517
145.0105436,,EAST BOUND,"32,000* (5% 1,800*) EAST BOUND",32000,4293,,2017,-37.86010054,-0.001,355518
145.0451039,,SOUTH EAST BOUND,"32,000* (4% 1,200*) SOUTH EAST BOUND",32000,4910,,2017,-37.87593581,-0.001,355519
145.1836322,,SOUTH BOUND,"7,900* (6% 497*) SOUTH BOUND",7900,3895,,2017,-38.30778122,0.016,355520
145.1269832,,WEST BOUND,"3,100* (5% 150*) WEST BOUND",3100,4405,,2017,-38.37377855,0.016,355521
145.0415183,,SOUTH BOUND,"1,300* (5% 62*) SOUTH BOUND",1300,3897,,2017,-38.43000788,0.013,355522
145.0449336,,SOUTH EAST BOUND,"9,000* (3% 244*) SOUTH EAST BOUND",9000,3486,,2017,-38.22964997,0.014,355523
145.0686075,,SOUTH BOUND,"1,700* (7% 123*) SOUTH BOUND",1700,3488,,2017,-38.28321609,0.014,355524
145.0173802,,EAST BOUND,"13,000* (2% 300*) EAST BOUND",13000,4082,,2017,-37.78339937,-0.005,355525
144.9217175,,SOUTH BOUND,"9,100* (6% 563*) SOUTH BOUND",9100,3490,,2017,-37.78560588,-0.004,355526
145.1246984,,NORTH BOUND,"7,300* (6% 450*) NORTH BOUND",7300,3908,,2017,-38.14731631,-0.004,355527
145.2490241,,NORTH BOUND,"9,900* (5% 511*) NORTH BOUND",9900,3495,,2017,-38.12390246,0.015,355528
145.2926335,,SOUTH BOUND,765* (8% 62*) SOUTH BOUND,765,3942,,2017,-37.31732083,-0.006,355529
145.1090256,786,NORTH EAST BOUND,"8,500 (6% 523*) NORTH EAST BOUND",8500,3532,649,2017,-38.03855817,0.013,355530
145.3611447,,NORTH EAST BOUND,"5,100* (5% 276*) NORTH EAST BOUND",5100,4127,,2017,-37.96117697,0.016,355531
